name,platform,genre,year_of_release,critic_score,user_score,rating,global_sales
Dead or Alive Xtreme 3: Venus,PSV,Sports,2016,77.0,5.7,Unknown,0.03
Pro Cycling Manager 2016,PC,Sports,2016,64.0,4.8,Unknown,0.03
PriPara Mezameyo! Megami no Dress Design,3DS,Action,2016,73.0,7.1,Unknown,0.03
Sengoku Basara: Sanada Yukimura-Den,PS4,Action,2016,73.0,7.1,Unknown,0.03
Infamous: First Light,PS4,Action,2014,73.0,7.5,T,0.03
The Idolmaster: Gravure For You! Vol. 4,PS3,Misc,2012,75.0,7.0,Unknown,0.03
Tour de France 2014,PS4,Sports,2014,53.0,5.1,E,0.03
The Night of the Rabbit,PC,Adventure,2013,75.0,7.5,Unknown,0.03
Even in a Game Listen to Me Girls. I Am Your Father!,PSP,Action,2012,73.0,7.1,Unknown,0.03
Diabolik Lovers: Dark Fate,PSV,Action,2015,73.0,7.1,Unknown,0.03
Need for Speed (2015),PC,Racing,2016,75.0,6.3,Unknown,0.03
Deer Drive: Legends,3DS,Action,2012,73.0,7.1,T,0.03
Gakusen Toshi Asterisk Festa: Houka Kenran,PSV,Fighting,2016,74.0,7.4,Unknown,0.03
Gekiatsu!! Pachi Game Tamashi Max: Evangelion 7 x Seimei no Kodou,PS3,Misc,2012,75.0,7.0,Unknown,0.03
Mame Goma: Shiro to Kuro no Meikyuu,3DS,Action,2012,73.0,7.1,Unknown,0.03
Duke Nukem 3D: 20th Anniversary World Tour,PS4,Shooter,2016,77.0,6.9,M,0.04
Paddington: Adventures in London,3DS,Puzzle,2015,71.0,7.9,Unknown,0.03
Langrisser: Re:Incarnation Tensei,3DS,Role-Playing,2015,74.0,7.5,Unknown,0.03
Atelier Firis: The Alchemist of the Mysterious Journey,PS4,Role-Playing,2016,74.0,7.5,Unknown,0.03
Romance of the Three Kingdoms (3DS),3DS,Strategy,2013,80.0,7.1,Unknown,0.03
Living Legends: Frozen Beauty,PC,Action,2014,73.0,7.1,Unknown,0.03
Penguins of Madagascar,WiiU,Action,2014,73.0,5.2,E,0.03
Detective Conan: Phantom Rhapsody,3DS,Action,2014,73.0,7.1,Unknown,0.03
Diabolik Lovers: More Blood,PSP,Adventure,2013,72.0,7.55,Unknown,0.03
JoJo's Bizarre Adventure: Eyes of Heaven,PS4,Fighting,2015,61.0,7.4,T,0.03
K-On! After School Live!! HD Ver.,PS3,Action,2012,73.0,7.1,Unknown,0.03
Ukiyo no Shishi,PS3,Action,2015,73.0,7.1,Unknown,0.03
Medabots 9: Metabee / Rokusho,3DS,Role-Playing,2015,74.0,7.5,Unknown,0.03
Yumi's Odd Odyssey,3DS,Platform,2013,74.0,7.7,E,0.03
Might & Magic X: Legacy,PC,Role-Playing,2014,74.0,7.5,Unknown,0.03
YoKai Watch Dance: Just Dance Special Version,WiiU,Misc,2015,75.0,7.0,Unknown,0.03
Just Dance 2017,PS4,Misc,2016,73.0,7.0,E10+,0.03
Let's Sing 2016,PS4,Action,2015,73.0,7.1,T,0.04
Dragon's Dogma Online,PS3,Role-Playing,2015,74.0,7.5,Unknown,0.03
Super Hero Generation,PS3,Role-Playing,2014,74.0,7.5,Unknown,0.03
Tamagotchi no Doki Doki Dream Omisecchi,3DS,Simulation,2013,70.0,7.05,Unknown,0.03
Toushin Toshi,3DS,Role-Playing,2014,74.0,7.5,Unknown,0.03
Trine 2,WiiU,Platform,2012,78.0,7.2,Unknown,0.03
Atelier Sophie: The Alchemist of the Mysterious Book,PS3,Role-Playing,2015,74.0,7.5,Unknown,0.03
.hack: Sekai no Mukou ni + Versus,PS3,Action,2012,73.0,7.1,Unknown,0.03
Medarot 9: Kabuto Ver. / Kuwagata Ver.,3DS,Role-Playing,2015,74.0,7.5,Unknown,0.03
Clash of Elementalists,3DS,Action,2013,73.0,7.1,Unknown,0.03
Rugby 15,PSV,Sports,2015,77.0,5.7,E,0.04
Cooking Mama 5: Bon Appetit!,3DS,Simulation,2013,70.0,7.05,Unknown,0.03
F1 2016 (Codemasters),PC,Racing,2016,75.0,6.3,Unknown,0.03
Deus Ex: Mankind Divided,PC,Role-Playing,2016,83.0,6.1,M,0.03
Super Robot Taisen OG Saga: Masou Kishin III - Pride of Justice,PSV,Strategy,2013,80.0,7.1,Unknown,0.03
3DS Classic Collection,3DS,Misc,2016,75.0,7.0,Unknown,0.03
Accel World: Ginyoku no Kakusei,PS3,Adventure,2012,72.0,7.55,Unknown,0.03
Turbo: Super Stunt Squad,DS,Sports,2013,77.0,5.7,E,0.03
Game of Thrones (Telltale),XOne,Adventure,2015,72.0,7.55,Unknown,0.03
Batman: A Telltale Game Series,X360,Adventure,2016,72.0,7.55,Unknown,0.03
Barbie and Her Sisters Puppy Rescue,3DS,Action,2015,73.0,7.1,E,0.03
Summon Night 6: Lost Borders,PS4,Action,2016,73.0,7.1,Unknown,0.03
Silverlicious,DS,Action,2012,73.0,7.1,E,0.03
Toriko: Ultimate Survival,3DS,Action,2013,73.0,7.1,Unknown,0.03
Song of the Deep,PC,Action,2016,73.0,6.3,E,0.03
The Binding of Isaac,PC,Action,2012,84.0,8.3,Unknown,0.03
Onna no Ko to Misshitsu ni Itara **shichau Kamoshirenai,3DS,Adventure,2012,72.0,7.55,Unknown,0.03
Tokyo Xanadu eX+,PS4,Role-Playing,2016,74.0,7.5,Unknown,0.03
Airship Q,PSV,Platform,2015,78.0,7.2,Unknown,0.03
A Good Librarian Like a Good Shepherd: Library Party,PSV,Action,2015,73.0,7.1,Unknown,0.03
Accel World: Ginyoku no Kakusei,PSP,Adventure,2012,72.0,7.55,Unknown,0.03
DiRT Rally,PC,Racing,2016,86.0,8.7,E,0.03
Trials Fusion,PC,Racing,2014,80.0,6.8,E10+,0.03
Prison Architect,PS4,Action,2016,80.0,8.0,M,0.03
Exstetra,PSV,Role-Playing,2013,74.0,7.5,Unknown,0.03
Hakuoki Zuisouroku Omokage Hana,PSV,Action,2015,73.0,7.1,Unknown,0.03
Atelier Shallie Plus: Alchemists of the Dusk Sea,PSV,Role-Playing,2016,74.0,7.5,T,0.03
PriPara & Pretty Rhythm: PriPara de Tsukaeru Oshare Item 1450!,3DS,Action,2015,73.0,7.1,Unknown,0.03
JoJo's Bizarre Adventure: Eyes of Heaven,PS3,Fighting,2015,74.0,7.4,Unknown,0.03
Rugby World Cup 2015,X360,Sports,2015,77.0,8.0,E,0.03
Sorcery Saga: The Curse of the Great Curry God,PSV,Role-Playing,2013,65.0,7.3,T,0.03
Cabela's Big Game Hunter: Pro Hunts,PS3,Shooter,2014,76.0,5.9,T,0.04
Hajime no Ippo: The Fighting! (2014),PS3,Sports,2014,77.0,5.7,Unknown,0.03
Game of Thrones (Telltale),X360,Adventure,2015,72.0,7.55,Unknown,0.02
The Walking Dead: Season One,PC,Adventure,2012,72.0,7.55,Unknown,0.04
Hyperdimension Neptunia Re;Birth 2,PSV,Action,2014,73.0,7.1,Unknown,0.04
Top Gun: Hard Lock,PS3,Action,2012,73.0,7.8,T,0.03
Alia's Carnival! Sacrament,PSV,Adventure,2015,72.0,7.55,Unknown,0.03
Toaru Majutsu no Kagaku no Ensemble,PSP,Adventure,2013,72.0,7.55,Unknown,0.03
Brothers Conflict: Brilliant Blue,PSP,Adventure,2013,72.0,7.55,Unknown,0.03
Bad Apple Wars,PSV,Action,2015,73.0,7.1,Unknown,0.03
Renai Revenge,PSV,Adventure,2015,72.0,7.55,Unknown,0.03
WRC 5: FIA World Rally Championship,PSV,Sports,2015,77.0,5.7,Unknown,0.03
Infinite Stratos 2: Ignition Hearts,PSV,Adventure,2014,72.0,7.55,Unknown,0.03
Super Heroine Chronicle,PS3,Role-Playing,2014,74.0,7.5,Unknown,0.03
Zero Escape: Virtue's Last Reward,3DS,Adventure,2012,88.0,8.8,M,0.03
Darkstalkers Resurrection,PS3,Fighting,2013,80.0,7.3,T,0.03
Transformers: Devastation,PC,Action,2015,74.0,7.6,T,0.03
MotoGP 15,XOne,Racing,2015,65.0,6.3,Unknown,0.03
The Golf Club,XOne,Sports,2014,64.0,5.4,E,0.03
Ebikore Photo Kano Kiss ,PSV,Action,2015,73.0,7.1,Unknown,0.03
Fast & Furious: Showdown,X360,Action,2013,73.0,7.1,Unknown,0.03
The Voice,PS3,Action,2014,73.0,7.1,Unknown,0.03
Renai 0 Kilometer,PSP,Adventure,2013,72.0,7.55,Unknown,0.03
Ao no Kanata no Four Rhythm,PSV,Adventure,2016,72.0,7.55,Unknown,0.03
Worms: WMD,PS4,Action,2016,78.0,7.6,E10+,0.03
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,WiiU,Misc,2014,75.0,7.0,Unknown,0.03
Jyuzaengi: Engetsu Sangokuden,PSP,Action,2012,73.0,7.1,Unknown,0.03
Rabbids Land,WiiU,Misc,2012,52.0,5.2,E10+,0.02
Great Edo Blacksmith,PSV,Adventure,2014,72.0,7.55,Unknown,0.03
Young Justice: Legacy,3DS,Action,2013,73.0,7.1,E10+,0.03
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,3DS,Adventure,2012,72.0,7.55,Unknown,0.03
Power Rangers Super Megaforce ,3DS,Action,2014,43.0,7.1,E10+,0.02
Rugby 15,X360,Sports,2015,77.0,5.7,E,0.03
Looney Tunes: Galactic Sports,PSV,Action,2015,73.0,7.1,Unknown,0.03
The Inner World,PC,Adventure,2013,72.0,8.1,Unknown,0.03
Terraria,WiiU,Action,2016,73.0,6.9,T,0.03
The Idolmaster: Gravure For You! Vol. 5,PS3,Misc,2012,75.0,7.0,Unknown,0.03
Hyperdimension Neptunia Vs. Sega Hard Girls: Yume no Gattai Special,PSV,Role-Playing,2015,74.0,7.5,Unknown,0.03
Valentino Rossi: The Game,XOne,Racing,2016,74.0,8.1,E,0.03
Muv-Luv Alternative: Total Eclipse,PS3,Simulation,2013,70.0,7.05,Unknown,0.03
Darius Burst: Chronicle Saviours,PSV,Action,2016,73.0,7.1,Unknown,0.03
Medabots Girls Mission: Metabee Ver. / Rokusho Ver.,3DS,Role-Playing,2016,74.0,7.5,Unknown,0.03
Phantasy Star Online 2: Episode 3 Deluxe Package,PSV,Action,2015,73.0,7.1,Unknown,0.03
Higurashi no Naku Koro ni Iki,PSV,Action,2015,73.0,7.1,Unknown,0.03
MeiQ no Chika Ni Shisu: A Maze to Eradicate Them All,PSV,Role-Playing,2015,74.0,7.5,Unknown,0.03
Doom 3 BFG Edition,PC,Shooter,2012,59.0,5.3,M,0.02
Romance of the Three Kingdoms II,3DS,Strategy,2015,80.0,7.1,Unknown,0.03
Bladestorm: Nightmare,PS3,Action,2015,73.0,7.4,T,0.03
OZMAFIA!! -vivace-,PSV,Adventure,2015,72.0,7.55,Unknown,0.03
Kung Fu Panda: Showdown of Legendary Legends,3DS,Action,2015,73.0,7.1,E10+,0.03
Oumagatoki: Kaidan Romance,PSP,Action,2012,73.0,7.1,Unknown,0.03
Lords of the Fallen,PC,Role-Playing,2014,73.0,6.9,M,0.03
New Tokyo Legacy: Operation Babel,PSV,Role-Playing,2015,74.0,7.5,Unknown,0.03
HappinessCharge PreCure! Kawarun Collection,3DS,Misc,2014,75.0,7.0,Unknown,0.03
NBA 2K13,PC,Sports,2012,90.0,6.8,E,0.02
Megpoid the Music#,PSP,Misc,2013,75.0,7.0,Unknown,0.03
Batman: A Telltale Game Series,XOne,Adventure,2016,72.0,4.3,M,0.03
Detective Opera: Milky Holmes 2,PSP,Adventure,2012,72.0,7.55,Unknown,0.03
Nisekoi: Yomeiri!?,PSV,Adventure,2014,72.0,7.55,Unknown,0.03
Barbie and Her Sisters Puppy Rescue,Wii,Action,2015,73.0,7.1,E,0.03
Handball 16,PS3,Sports,2015,77.0,5.7,E,0.02
Samurai Warriors: Sanada Maru,PS4,Action,2016,73.0,7.1,Unknown,0.03
Genkai Tokki: Seven Pirates,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.03
Parfait,PSV,Adventure,2015,72.0,7.55,Unknown,0.03
Mighty No. 9,WiiU,Platform,2016,48.0,4.6,E10+,0.03
The Great Mystery Hidden Object Package 5,PC,Adventure,2015,72.0,7.55,Unknown,0.03
Kenka Bancho Otome,PSV,Action,2016,73.0,7.1,Unknown,0.03
Star Trek: The Game,PC,Action,2013,73.0,7.1,Unknown,0.02
Superdimension Neptune vs Sega Hard Girls,PSV,Role-Playing,2016,73.0,8.4,T,0.03
The Talos Principle,PS4,Puzzle,2015,88.0,8.4,E10+,0.02
Gudetama: Hanjuku de Tanomuwa,3DS,Action,2015,73.0,7.1,Unknown,0.03
LEGO Legends of Chima: Laval's Journey,DS,Adventure,2013,72.0,7.55,E10+,0.03
Kamigami no Asobi,PSP,Adventure,2013,72.0,7.55,Unknown,0.03
Harukanaru Toki no Naka de 6,PSV,Action,2015,73.0,7.1,Unknown,0.03
Onechanbara Z Kagura,X360,Action,2012,73.0,7.1,Unknown,0.03
Ride,PC,Racing,2015,68.0,4.8,E,0.03
Harukanaru Toki no Naka de 5: Kazahanaki,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.03
The IdolM@ster: Gravure For You! Vol. 6,PS3,Action,2012,73.0,7.1,Unknown,0.03
Yahari Game Demo Ore no Seishun Love-Kome wa Machigatteiru. Zoku,PSV,Adventure,2016,72.0,7.55,Unknown,0.03
Samurai Warriors 2,PS3,Action,2013,73.0,7.1,Unknown,0.03
Bus Simulator 16,PC,Simulation,2016,46.0,6.1,Unknown,0.03
Diabolik Lovers: Lunatic Parade,PSV,Adventure,2016,72.0,7.55,Unknown,0.03
The Croods: Prehistoric Party!,WiiU,Misc,2013,75.0,7.0,Unknown,0.02
Cabela's Big Game Hunter: Pro Hunts,X360,Shooter,2014,76.0,7.3,T,0.02
Labyrinth Cross Blood: Infinity,PSV,Role-Playing,2013,74.0,7.5,Unknown,0.03
Loading Human,PS4,Adventure,2016,72.0,7.55,Unknown,0.02
Kangokutou Mary Skelter,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.03
Botanicula,PC,Adventure,2012,82.0,8.3,Unknown,0.02
Yuusha Shisu.,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.03
MX vs. ATV Supercross,PS3,Racing,2014,58.0,3.5,E,0.03
Sengoku Basara: Sanada Yukimura-Den,PS3,Action,2016,73.0,7.1,Unknown,0.03
Kisuato,PSV,Adventure,2015,72.0,7.55,Unknown,0.03
Himoutou! Umaru-Chan: Himoutou Ikusei Keikaku,PSV,Simulation,2015,70.0,7.05,Unknown,0.03
XBLAZE Code: Embryo,PSV,Adventure,2013,43.0,7.4,M,0.02
Dream Girl Premier,3DS,Misc,2015,75.0,7.0,Unknown,0.03
Tiger & Bunny: On-Air Jack!,PSP,Action,2012,73.0,7.1,Unknown,0.03
Eureka Seven AO: Jungfrau no Hanabanatachi,PS3,Action,2012,73.0,7.1,Unknown,0.03
Putty Squad,PSV,Platform,2013,78.0,8.2,E10+,0.03
Dead Rising 2,PS4,Action,2016,82.0,6.6,M,0.02
Infinite Stratos 2: Ignition Hearts,PS3,Adventure,2014,72.0,7.55,Unknown,0.03
Young Justice: Legacy,Wii,Action,2013,73.0,7.1,T,0.03
Steins;Gate 0,PS3,Adventure,2015,72.0,7.55,Unknown,0.03
The Peanuts Movie: Snoopy's Grand Adventure,3DS,Action,2015,73.0,8.8,E,0.03
Nekketsu Kouha Kunio-Kun SP: Rantou Kyousoukyoku,3DS,Fighting,2013,74.0,7.4,Unknown,0.03
Brothers Conflict: Passion Pink,PSP,Action,2012,73.0,7.1,Unknown,0.03
Rugby Challenge 3,PS3,Sports,2016,77.0,5.7,Unknown,0.02
MX vs. ATV Supercross Encore,XOne,Sports,2015,45.0,5.7,Unknown,0.02
AMNESIA World,PSV,Adventure,2014,72.0,7.55,Unknown,0.03
The Technomancer,XOne,Role-Playing,2016,68.0,7.4,M,0.02
Resident Evil 5 HD,PS4,Action,2016,73.0,7.1,Unknown,0.03
Aegis of Earth: Protonovus Assault,PSV,Action,2016,73.0,8.3,T,0.03
Teddy Together,3DS,Simulation,2016,70.0,7.05,Unknown,0.02
Touch Shot! Love Application,PS3,Adventure,2012,72.0,7.55,Unknown,0.03
God Eater Off Shot: Lindow-hen Twin Pack & Animation Vol. 2,PS4,Misc,2015,75.0,7.0,Unknown,0.03
One Piece: Daikaizoku Coliseum,3DS,Fighting,2016,74.0,7.4,Unknown,0.03
The Legend of Korra (3DS),3DS,Strategy,2014,80.0,7.1,Unknown,0.02
Senran Kagura: Bon Appétit!,PSV,Misc,2014,75.0,7.0,Unknown,0.03
The Peanuts Movie: Snoopy's Grand Adventure,PS4,Action,2015,59.0,6.6,E,0.02
Aegis of Earth: Protonovus Assault,PS4,Action,2016,57.0,7.8,T,0.02
Sengoku Otome: Legend Battle,PSV,Action,2016,73.0,7.1,Unknown,0.03
Harvest Moon: Skytree Village,3DS,Simulation,2016,70.0,7.4,E,0.02
Tokushu Houdoubu,PSV,Adventure,2012,72.0,7.55,Unknown,0.03
Little Busters! Converted Edition,PSV,Action,2012,73.0,7.1,Unknown,0.03
Agatha Christie's The ABC Murders,PS4,Adventure,2016,67.0,6.2,T,0.02
Atari Flashback Classics: Volume 1,PS4,Misc,2016,75.0,7.0,E,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.9,PS3,Misc,2016,75.0,7.0,Unknown,0.03
D.C. III: Da Capo III,PSP,Adventure,2013,72.0,7.55,Unknown,0.03
Wand of Fortune 2 FD: Kimi ni Sasageru Epilogue,PSP,Adventure,2012,72.0,7.55,Unknown,0.03
Heroes of Hellas 2: Olympia,DS,Puzzle,2012,71.0,7.9,Unknown,0.02
Daito Giken Koushiki Pachi-Slot Simulator Hihouden: Taiyou o Motomeru Monotachi,PS3,Misc,2013,75.0,7.0,Unknown,0.03
Senjou no Waltz,PSV,Adventure,2014,72.0,7.55,Unknown,0.03
Secrets of the Titanic,DS,Action,2012,73.0,7.1,Unknown,0.02
Captain Morgane and the Golden Turtle,PC,Adventure,2012,54.0,6.2,Unknown,0.02
BlazBlue: Chrono Phantasma Extend,PSV,Action,2015,73.0,6.8,T,0.03
Legend of Kay Anniversary,PS4,Action,2015,62.0,6.4,E10+,0.02
Duke Nukem 3D: 20th Anniversary World Tour,XOne,Shooter,2016,70.0,6.7,M,0.02
 Beyblade Burst,3DS,Role-Playing,2016,74.0,7.5,Unknown,0.03
Kyokugen Dasshutsu ADV: Zennin Shiboudesu,PSV,Adventure,2012,72.0,7.55,Unknown,0.03
The Legend of Heroes: Trails in the Sky Third Chapter,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.02
Jewel Quest 5: The Sleepless Star,DS,Action,2012,73.0,7.1,Unknown,0.02
GRID Autosport,PC,Racing,2014,78.0,6.2,E,0.02
Demon Gaze 2,PSV,Role-Playing,2014,74.0,7.5,Unknown,0.02
Yahari Game Demo Ore no Seishun Love-Kome Hamachi Gatteiru,PSV,Adventure,2013,72.0,7.55,Unknown,0.02
Blade Arcus from Shining EX,PS4,Fighting,2015,74.0,7.4,Unknown,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.6,PS3,Adventure,2015,72.0,7.55,Unknown,0.02
The Idolmaster: Gravure For You! Vol.7,PS3,Action,2012,73.0,7.1,Unknown,0.02
Monster High: New Ghoul in School,X360,Action,2015,73.0,7.1,E,0.02
Assault Suit Leynos,PS4,Shooter,2016,67.0,6.7,E10+,0.02
Juusanshi Engi Engetsu Sangokuden 2,PSP,Action,2014,73.0,7.1,Unknown,0.02
Turbo: Super Stunt Squad,WiiU,Sports,2013,77.0,3.9,E,0.02
Disney Planes Fire & Rescue,WiiU,Action,2014,73.0,7.1,Unknown,0.02
Captain Morgane and the Golden Turtle,DS,Adventure,2012,72.0,7.55,Unknown,0.02
Ano Hi Mita Hana no Namae o Bokutachi wa Mada Shiranai,PSP,Action,2012,73.0,7.1,Unknown,0.02
Reco Love: Blue Ocean,PSV,Adventure,2016,72.0,7.55,Unknown,0.02
Final Fantasy XIV: Heavensward,PC,Action,2015,86.0,7.7,T,0.02
Omega Quintet,PS4,Role-Playing,2014,58.0,7.1,T,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.1,PS3,Action,2015,73.0,7.1,Unknown,0.02
Final Fantasy XIV: Heavensward,PS3,Action,2015,73.0,8.2,T,0.02
Diabolik Lovers: Vandead Carnival,PSV,Action,2014,73.0,7.1,Unknown,0.02
Atari Flashback Classics: Volume 2,PS4,Misc,2016,75.0,7.0,E,0.02
Capcom Digital Collection,X360,Action,2012,65.0,5.3,T,0.03
Rugby League Live 3,PS4,Action,2015,73.0,7.6,E,0.02
Cross Ange: Tenshi to Ryuu no Rondo tr.,PSV,Action,2015,73.0,7.1,Unknown,0.02
Winning Post 8 2015,PSV,Action,2015,73.0,7.1,Unknown,0.02
La Corda d'Oro 4,PSV,Action,2016,73.0,7.1,Unknown,0.02
Bella Sara 2 - The Magic of Drasilmare,3DS,Adventure,2013,72.0,7.55,Unknown,0.02
Urakata Hakuoki,PSP,Adventure,2013,72.0,7.55,Unknown,0.02
Here They Lie,PS4,Adventure,2016,62.0,6.5,M,0.02
Rugby League Live 3,X360,Action,2015,73.0,7.0,E,0.02
Steins;Gate: Senkei Kousoku no Phonogram,X360,Adventure,2013,72.0,7.55,Unknown,0.02
Aegis of Earth: Protonovus Assault,PS3,Action,2016,73.0,7.1,T,0.02
Strike Witches: Shirogane no Tsubasa,PSP,Strategy,2012,80.0,7.1,Unknown,0.02
Blade Arcus from Shining EX,PS3,Fighting,2015,74.0,7.4,Unknown,0.02
Rugby Challenge 3,X360,Sports,2016,77.0,5.7,E,0.02
Toukiden 2,PS3,Action,2016,73.0,7.1,Unknown,0.02
Resident Evil: Umbrella Corps,PS4,Action,2016,73.0,7.1,Unknown,0.02
Hyakka Hyakurou: Sengoku Ninpoujou,PSV,Adventure,2016,72.0,7.55,Unknown,0.02
HatsuKare * Renai Debut Sengen!,PSP,Adventure,2013,72.0,7.55,Unknown,0.02
QUIZ PARTY,Wii,Misc,2012,75.0,7.0,Unknown,0.02
Anima - Gate of Memories,PS4,Action,2016,52.0,7.9,T,0.02
Tropico 4: Modern Times,PC,Strategy,2012,78.0,8.0,T,0.02
Utawarerumono: Futari no Hakuoro,PS3,Misc,2016,75.0,7.0,Unknown,0.02
Geten no Hana,PSP,Misc,2013,75.0,7.0,Unknown,0.02
Psycho-Pass: Mandatory Happiness,PSV,Adventure,2016,64.0,7.3,T,0.02
Thomas and Friends: Steaming around Sodor,3DS,Action,2015,73.0,7.1,Unknown,0.02
Atelier Firis: The Alchemist of the Mysterious Journey,PSV,Role-Playing,2016,74.0,7.5,Unknown,0.02
Phoenix Wright: Ace Attorney Trilogy,3DS,Adventure,2014,81.0,9.0,T,0.02
To Love-Ru Trouble: Darkness - True Princess,PSV,Action,2015,73.0,7.1,Unknown,0.02
Moujuutsukai to Oujisama: Snow Bride Portable,PSP,Adventure,2012,72.0,7.55,Unknown,0.02
Captain Morgane and the Golden Turtle,PS3,Adventure,2012,72.0,7.55,Unknown,0.02
Dino Dini's Kick Off Revival,PS4,Sports,2016,31.0,4.5,Unknown,0.02
Winning Post 8 2015,PS3,Action,2015,73.0,7.1,Unknown,0.02
Monster High 13 Wishes,WiiU,Action,2013,73.0,5.5,E,0.02
Ukiyo no Roushi,PSV,Action,2015,73.0,7.1,Unknown,0.02
Uta Kumi 575,PSV,Misc,2014,75.0,7.0,Unknown,0.02
Street Fighter X Tekken,PC,Fighting,2012,79.0,6.4,T,0.02
Jewel Match 2,DS,Puzzle,2012,71.0,7.9,Unknown,0.02
Rugby World Cup 2015,XOne,Sports,2015,77.0,4.3,E,0.02
Black Rose Valkyrie,PS4,Role-Playing,2016,74.0,7.5,Unknown,0.02
Zillions of Enemy X: Zetsukai no Crusade,PS3,Role-Playing,2013,74.0,7.5,Unknown,0.02
Plants vs. Zombies: Garden Warfare,PC,Shooter,2014,78.0,7.8,E10+,0.02
F1 Race Stars,PC,Racing,2012,62.0,5.4,E,0.02
Call of Duty: Modern Warfare Trilogy,PS3,Shooter,2016,76.0,7.0,M,0.02
Motto! SoniComi,PS3,Simulation,2014,70.0,7.05,Unknown,0.02
Diabolik Lovers: More Blood,PSV,Adventure,2015,72.0,7.55,Unknown,0.02
X3: Terran War Pack,PC,Misc,2012,75.0,7.0,Unknown,0.02
Azada,3DS,Puzzle,2012,71.0,7.9,E,0.02
Gochuumon wa Usagi Desu ka?? Wonderful Party!,PSV,Adventure,2016,72.0,7.55,Unknown,0.02
Genroh,PSP,Action,2012,73.0,7.1,Unknown,0.02
Kannou Mukashi Banashi Portable,PSP,Adventure,2012,72.0,7.55,Unknown,0.02
Rose to Tasogare no Kojou,PSV,Action,2016,73.0,7.1,Unknown,0.02
UnchainBlades EXXiV,3DS,Role-Playing,2012,74.0,7.5,Unknown,0.02
Dies Irae: Amantes Amentes,PSP,Action,2012,73.0,7.1,Unknown,0.02
The Idolmaster: Gravure For You! Vol.9,PS3,Action,2012,73.0,7.1,Unknown,0.02
Date A Live: Arusu Install,PS3,Adventure,2014,72.0,7.55,Unknown,0.02
Shinken de Watashi ni Koi Shinasai! R,PS3,Action,2012,73.0,7.1,Unknown,0.02
Shiratsuyu no Kai,PSP,Adventure,2013,72.0,7.55,Unknown,0.02
Rugby League Team Manager 2015,PC,Action,2015,73.0,7.1,Unknown,0.02
Touhou Genso Rondo: Bullet Ballet,PS4,Shooter,2016,55.0,4.7,E10+,0.02
Atari Flashback Classics: Volume 1,XOne,Misc,2016,75.0,7.0,E,0.02
Resident Evil Zero,PC,Action,2016,73.0,7.1,Unknown,0.02
Back to the Future: The Game,X360,Adventure,2015,72.0,7.5,Unknown,0.02
Sniper Elite V2,WiiU,Shooter,2013,58.0,5.8,M,0.02
Detective Jinguuji Saburo: Ronde Revenge,3DS,Action,2012,73.0,7.1,Unknown,0.02
Paragon,PS4,Action,2016,73.0,6.1,Unknown,0.02
Robotics;Notes,X360,Adventure,2012,72.0,7.55,Unknown,0.02
Dungeons & Dragons: Shadow over Mystara,PS3,Role-Playing,2013,74.0,7.5,Unknown,0.02
Atari Flashback Classics: Volume 2,XOne,Misc,2016,75.0,7.0,E,0.02
Hakuoki: Shinkai - Hana no Shou,PSV,Adventure,2016,72.0,7.55,Unknown,0.02
Sacred 3,PC,Role-Playing,2014,57.0,1.4,M,0.02
Pro Evolution Soccer 2017,PC,Sports,2016,69.0,3.7,E,0.02
The Awakened Fate Ultimatum,PS3,Role-Playing,2014,65.0,7.3,T,0.02
Xblaze: Lost Memories,PS3,Adventure,2015,63.0,6.2,M,0.02
Natalie Brooks: Mystery at Hillcrest High,DS,Action,2012,73.0,7.1,Unknown,0.02
Gal Gun,PS3,Shooter,2012,76.0,6.7,Unknown,0.02
Toki no Kizuna: Hanayui Tsuzuri,PSP,Adventure,2013,72.0,7.55,Unknown,0.02
Rinne no Lagrange: Kamogawa Days,PS3,Adventure,2012,72.0,7.55,Unknown,0.02
The Idolmaster: Gravure For You! Vol.8,PS3,Action,2012,73.0,7.1,Unknown,0.02
Spirits and Demons: 5 Game Pack,PC,Misc,2015,75.0,7.0,Unknown,0.02
Net High,PSV,Adventure,2015,72.0,7.55,Unknown,0.02
Hakuoki: Shinkai - Furi no Shou,PSV,Action,2015,73.0,7.1,Unknown,0.02
Saki: Achiga-Hen Portable,PSP,Adventure,2013,72.0,7.55,Unknown,0.02
TV Anime Idolm@ster: Cinderella Girls G4U! Pack Vol.7,PS3,Misc,2015,75.0,7.0,Unknown,0.02
Carmageddon: Max Damage,XOne,Action,2016,52.0,7.1,M,0.02
UnchainBlades EXXiV,PSP,Role-Playing,2012,74.0,7.5,Unknown,0.02
